txn_id,is_fraud
7475731,0
7476501,0
7477760,0
7479246,0
7479329,0
7479352,0
7479568,0
7479726,0
7479794,0
7480352,0
7480516,0
7480913,0
7481101,0
7481265,0
7481325,0
7481469,0
7481540,0
7481644,0
7481687,0
7481944,0
7482277,0
7482590,0
7482623,0
7482707,0
7482826,0
7483426,0
7483924,0
7484195,0
7484413,0
7485048,0
7485063,0
7485309,0
7485352,0
7485464,0
7485979,0
7486207,0
7486227,0
7486654,0
7488162,0
7488688,0
7489469,0
7489475,0
7489637,0
7490176,0
7490198,0
7490242,0
7490548,0
7490760,0
7491769,0
7492287,0
7492354,0
7492925,0
7493412,0
7493520,0
7494160,0
7494180,0
7494185,0
7494563,0
7496146,0
7496167,0
7496368,0
7496976,0
7497533,0
7497977,0
7498554,0
7498757,0
7499398,0
7500170,0
7500338,0
7500586,0
7501043,0
7501470,0
7502154,0
7502562,0
7502597,0
7502771,0
7503843,0
7504913,0
7505078,0
7505302,0
7506178,0
7506255,0
7506365,0
7506679,0
7507901,0
7508695,0
7508730,0
7509119,0
7509855,0
7511275,0
7511365,0
7511442,0
7511505,0
7511828,0
7511845,0
7512085,0
7512758,0
7512912,0
7513555,0
7514552,0
7514806,0
7514865,0
7515256,0
7515710,0
7515771,0
7516073,0
7516299,0
7516562,0
7516626,0
7516725,0
7516932,0
7517493,0
7517903,0
7518054,0
7518116,0
7518445,0
7518717,0
7519582,0
7519589,0
7519774,0
7519810,0
7520013,0
7520336,0
7520733,0
7520817,0
7521222,0
7521915,0
7521987,0
7522067,0
7522153,0
7522403,0
7522653,0
7523657,0
7524023,0
7524317,0
7524338,0
7524782,0
7524809,0
7525261,0
7525741,0
7525874,0
7525904,0
7525945,0
7527563,0
7529229,0
7529675,0
7529847,0
7529886,0
7529987,0
7530616,0
7531122,0
7531273,0
7531285,0
7531856,0
7532134,0
7532186,0
7532519,0
7533088,0
7533371,0
7533447,0
7533552,0
7533867,0
7534045,0
7534101,0
7534695,0
7534773,0
7534816,0
7534821,0
7535029,0
7535510,0
7535929,0
7537059,0
7537249,0
7538040,0
7538613,0
7538673,0
7540041,0
7540389,0
7541039,0
7541222,0
7541367,0
7541832,0
7542143,0
7542666,0
7542976,0
7543548,0
7543573,0
7543594,0
7543608,0
7543903,0
7544027,0
7544425,0
7544445,0
7545881,0
7546877,0
7546931,0
7547583,0
7547848,0
7548016,0
7548286,0
7548321,0
7549167,0
7549919,0
7550077,0
7550095,0
7550601,0
7551180,0
7551483,0
7551957,0
7552929,0
7553022,0
7553785,0
7554809,0
7555383,0
7555514,0
7555923,0
7556555,0
7556668,0
7556695,0
7556707,0
7556841,0
7557260,0
7558346,0
7559055,0
7559574,0
7559803,0
7560596,0
7560652,0
7561344,0
7562617,0
7562754,0
7562814,0
7563024,0
7563235,0
7564289,0
7564952,0
7564969,0
7565210,0
7565869,0
7565891,0
7565998,0
7566813,0
7567197,0
7569104,0
7569968,0
7570007,0
7570173,0
7570653,0
7571217,0
7571566,0
7572190,0
7572376,0
7572894,0
7573172,0
7573947,0
7574125,0
7574143,0
7575063,0
7575400,0
7575866,0
7576043,0
7576048,0
